名称,获利比例（%）,平均成本（元）,90%集中度（%）,90%成本最低价格（元）,90%成本最高价格（元）,70%集中度（%）,70%成本最低价格（元）,70%成本最高价格（元）
福成股份,8.01,7.43,10.6,6.56,8.12,7.92,6.79,7.96
中银证券,3.46,29.84,9.39,26.4,31.87,5.85,27.65,31.09
凯盛科技,24.44,6.72,14.47,5.46,7.31,5.49,6.37,7.11
通达电气,3.03,14.74,15.31,12.93,17.6,10.35,13.56,16.7
道通科技,69.67,67.75,18.18,50.32,72.69,14.4,53.52,71.52
厦门空港,35.42,18.04,5.73,16.91,18.96,4.07,17.2,18.65
嘉化能源,82.94,10.61,20.64,8.64,13.14,11.06,9.52,11.89
上海物贸,41.61,11.9,20.24,8.71,13.13,13.21,9.85,12.85
珀莱雅,5.99,172.06,10.65,150.65,186.55,7.26,156.95,181.51
航发科技,7.78,26.4,17.28,22.83,32.36,13.23,23.88,31.17
世运电路,20.01,23.87,13.39,20.83,27.27,6.25,22.78,25.82
红 宝 丽,21.47,6.28,21.13,4.95,7.6,11.47,5.7,7.18
淳中科技,1.21,38.99,8.49,35.76,42.39,6.02,36.92,41.65
珠海港,29.44,5.83,11.04,5.04,6.3,8.31,5.22,6.16
新宏泽,35.34,11.44,16.35,9.91,13.78,10.77,10.54,13.08
中国中车,10.51,5.9,7.26,5.49,6.35,4.06,5.67,6.15
博深股份,80.3,9.31,25.08,6.97,11.64,20.95,7.39,11.3
华帝股份,35.27,11.07,8.36,10.31,12.19,5.91,10.57,11.9
民生银行,32.74,5.56,7.44,5.29,6.14,4.55,5.35,5.86
联合光电,23.34,17.01,9.92,15.18,18.52,6.18,16.02,18.13
东华软件,1.48,12.37,12.19,11.19,14.29,8.13,11.57,13.62
西安银行,13.03,5.74,9.69,5.19,6.3,6.6,5.36,6.11
海尔智家,67.4,17.85,23.55,14.46,23.37,19.57,14.98,22.26
宏昌电子,32.66,5.53,14.32,4.45,5.93,7.98,5,5.86
申万宏源,20.26,5.69,19.41,4.36,6.47,13.02,4.78,6.21
兰花科创,40.92,5.23,9.41,4.62,5.58,7.33,4.74,5.49
华菱钢铁,87.8,4.51,16.52,3.74,5.22,13.7,3.87,5.11
文化长城,42.58,5.36,36.14,2.99,6.38,25.81,3.63,6.16
江西长运,39.78,5.13,9.34,4.61,5.56,5.2,4.83,5.36
中国联通,13.09,5.23,5.78,4.89,5.49,3.16,5.06,5.39
中国建筑,25.88,5.1,5.84,4.84,5.44,3.81,4.92,5.31
石化机械,22.5,5.15,7.5,4.69,5.45,5.21,4.82,5.35
华泰股份,29.6,5.15,14.68,4.12,5.54,10.85,4.38,5.45
宇通客车,80.45,13.32,12.75,11.71,15.13,10.77,11.9,14.77
正平股份,36.88,4.91,14.71,4.15,5.58,9.59,4.36,5.28
航天动力,17.41,10.57,17.57,8.48,12.1,10.49,9.49,11.72
道道全,8.72,21.79,21.32,15.87,24.47,7.79,19.79,23.13
交通银行,0.8,4.82,6.91,4.65,5.34,3.45,4.76,5.1
海油工程,6.62,4.91,6.41,4.6,5.23,3.47,4.73,5.07
国投电力,89.48,8.29,12.2,7.25,9.26,10.46,7.4,9.13
国新能源,46.76,4.63,21.7,3.56,5.53,16.65,3.73,5.23
ST亚星,51.83,4.51,12.86,4.19,5.43,9.53,4.25,5.14
深圳机场,17.39,9.61,17.87,7.67,11.01,8.35,8.73,10.33
北方导航,11.02,10.21,20.32,8.23,12.43,11.12,9.18,11.48
广东榕泰,12.56,4.61,16.57,4.3,6.01,11.76,4.41,5.59
晋西车轴,20.28,4.52,10.86,3.98,4.95,7.52,4.18,4.86
青岛金王,8.6,4.57,8.19,4.15,4.89,5.04,4.33,4.79
江南水务,33.83,4.55,16.52,3.71,5.18,12.35,3.89,4.99
华能水电,96.4,3.85,10.08,3.39,4.15,8.39,3.44,4.07
浙商银行,29.61,4.21,9.36,3.92,4.73,3.73,4.13,4.45
龙宇燃油,3.88,9.47,12.65,8.39,10.81,8.58,8.75,10.39
春兰股份,27.45,4.29,9.36,3.75,4.53,5.8,3.92,4.41
华懋科技,43.44,16.49,17.81,13.62,19.52,12.46,14.34,18.42
中直股份,37.26,54.5,22.57,41.15,65.14,16.26,45.11,62.63
华泰证券,26.16,21.16,15.23,17.29,23.5,12.41,17.89,22.96
渝 开 发,24.91,4.15,7.39,3.82,4.43,4.61,3.93,4.31
南山控股,18.55,4.41,28.01,2.91,5.17,14.39,3.71,4.96
金鸿顺,3.41,18.17,6.88,16.38,18.8,4.69,16.96,18.63
*ST永林,39.69,4.06,13.02,3.73,4.84,6.55,3.83,4.36
鸿达兴业,61.87,3.98,7.32,3.67,4.25,4.05,3.79,4.11
盾安环境,21,4.09,8.43,3.8,4.5,4.01,3.95,4.28
新城市,10.97,45.56,26.73,34.77,60.13,23.04,36.52,58.38
福能股份,43.99,7.95,13.1,7.18,9.34,9.9,7.39,9.02
长荣股份,46,7.95,14.43,6.62,8.85,8.76,7.04,8.39
瑞斯康达,28.08,12.4,10.99,10.85,13.54,6.87,11.3,12.97
中国石化,0.72,4.06,4.46,3.96,4.33,3.5,4,4.29
山西证券,17.08,8.34,18.48,6.5,9.44,10.03,7.55,9.23
棕榈股份,76.61,3.59,21.49,2.64,4.09,13.75,2.98,3.93
冠城大通,52.98,3.76,7.25,3.39,3.92,5.02,3.5,3.87
日上集团,36.63,3.81,7.42,3.43,3.98,4.95,3.55,3.92
大亚圣象,56.48,17.91,29.78,12.2,22.54,15.86,15.64,21.54
云南城投,5.25,4.34,17.53,3.62,5.16,12.2,3.82,4.89
*ST升达,65.94,3.26,28.86,2.22,4.01,22.98,2.4,3.84
汇鸿集团,31.42,3.59,9.82,3.26,3.97,4.31,3.44,3.75
平治信息,11.39,47.6,10.35,45.2,55.63,6.61,46.1,52.62
中交地产,37.6,7.2,20.05,5.55,8.34,14.16,5.99,7.96
通宇通讯,0.73,24.68,10.81,22.4,27.83,8.3,23.03,27.2
红豆股份,27.74,3.56,6.48,3.32,3.78,4.51,3.39,3.71
桃李面包,54.7,52.58,15.81,46.57,64.05,11.12,48.75,60.96
郑中设计,27.71,10.65,9.47,9.29,11.24,5.47,9.9,11.04
誉衡药业,16.76,3.9,16.1,3.12,4.32,11.18,3.32,4.16
厦门象屿,45.3,6.77,17.2,5.42,7.67,11.03,5.9,7.37
辽宁能源,19.98,3.41,5.83,3.31,3.72,3.62,3.33,3.58
川仪股份,77.98,9.15,14.02,7.91,10.49,11.78,8.08,10.23
豪美新材,1.92,18.23,8.67,17.19,20.46,3.5,17.59,18.87
首创股份,35.12,3.36,7.08,3.02,3.48,4.88,3.12,3.44
精伦电子,24.77,3.37,9.15,3.03,3.64,4.72,3.23,3.55
湖南盐业,10.23,7.02,8.18,6.29,7.41,4.37,6.65,7.26
世茂股份,67.47,6.28,28.69,3.87,6.97,23.41,4.13,6.66
长虹美菱,17.01,3.4,13.58,2.96,3.89,8.05,3.2,3.76
金隅集团,37.48,3.25,5.64,3.01,3.37,3.26,3.12,3.33
德宏股份,10.64,10.2,11.17,9.04,11.31,6.06,9.71,10.96
金字火腿,2.11,7.25,9.74,6.45,7.84,6.48,6.64,7.56
华闻集团,1.56,3.58,17.35,3.23,4.58,13.15,3.34,4.35
宁沪高速,15.94,9.59,4.32,9.15,9.98,2.15,9.39,9.8
锦盛新材,13,28.35,10.48,24.41,30.12,6.44,25.81,29.36
克劳斯,54.83,6.22,11.3,5.44,6.82,7.13,5.78,6.67
协创数据,14.33,37.67,12.85,33.06,42.8,8.85,34.34,41.01
嘉友国际,62.61,30.68,19.62,21.92,32.63,13.42,24.41,31.98
南钢股份,11.45,3.31,12.67,2.86,3.69,5.95,3.16,3.56
金钼股份,32.3,6.46,9.79,5.67,6.9,8.11,5.78,6.81
中国卫星,13.82,38.37,14.6,32.46,43.56,9.75,34.03,41.39
锦州港,38.98,3.13,9.32,2.87,3.46,7.28,2.93,3.39
振华重工,36.21,3.09,6.45,2.83,3.22,4.26,2.92,3.18
兄弟科技,3.63,6.87,9.68,6.15,7.46,6.45,6.36,7.24
迪马股份,49.58,3.03,7.59,2.74,3.19,5.88,2.8,3.15
二三四五,18.1,3.06,6.21,2.87,3.25,2.76,3,3.17
神州高铁,11.26,3.13,4.67,2.96,3.25,2.56,3.04,3.2
*ST联合,32.3,3.07,12.03,2.67,3.4,6.56,2.85,3.25
葛洲坝,9.49,6.58,11.13,5.85,7.31,6.85,6.16,7.07
先锋电子,84.41,14.08,10.62,12.36,15.3,6.22,13.16,14.9
平煤股份,74.04,5.01,24.69,3.81,6.3,22.06,3.93,6.16
盘江股份,57.32,5.86,14.41,4.76,6.36,11.1,4.92,6.15
欣天科技,3.65,16.61,8.86,14.93,17.83,5.49,15.77,17.6
锌业股份,25.02,3.04,10.12,2.62,3.21,6.73,2.77,3.17
万通智控,15.27,15.93,11.3,14.01,17.59,7.76,14.49,16.93
日照港,56.45,2.86,13.12,2.45,3.19,9.48,2.53,3.06
恒久科技,52.15,11.57,8.91,10.02,11.98,2.89,11.16,11.82
ST亚邦,5.53,6.04,7.62,5.76,6.71,4.65,5.85,6.42
徐工机械,9.62,6.35,10.4,5.6,6.91,5.99,5.88,6.63
清源股份,51.7,8.59,13.11,7.4,9.63,9.1,7.75,9.3
联泰环保,37.91,9.14,16.47,7.03,9.8,9.87,7.79,9.49
恒为科技,0.86,22.47,11.26,20.59,25.82,7.9,21.32,24.98
好当家,17.82,3.02,10.7,2.63,3.26,6.64,2.81,3.21
丰林集团,50.77,2.83,9.39,2.51,3.03,7.41,2.56,2.97
天泽信息,7.41,16.42,16.37,13.82,19.23,7.57,15.05,17.51
国际实业,4.76,6.39,12,5.64,7.18,8.59,5.88,6.99
马钢股份,54.55,2.8,11.43,2.48,3.12,8.5,2.53,3
东百集团,38.83,5.66,12.09,4.76,6.07,9,4.92,5.89
香飘飘,1.39,28.15,9.11,25.46,30.57,4.06,27.03,29.32
金浦钛业,49.84,2.77,8.26,2.5,2.95,5.49,2.58,2.88
*ST海华,49.41,2.76,20.22,2.21,3.33,12.23,2.44,3.12
重庆路桥,81.21,2.68,6.21,2.49,2.82,4.73,2.52,2.77
海立股份,27.68,8.37,7.55,7.93,9.22,3.89,8.09,8.74
众业达,19.82,8.62,10.88,7.52,9.35,6.93,8.01,9.2
天房发展,30.67,2.77,8.72,2.46,2.93,4.76,2.6,2.86
福达合金,9.62,14.36,7.23,13.18,15.23,3.81,13.79,14.88
天箭科技,10.62,128.25,16.33,111.46,154.97,11.44,115.28,145.05
搜于特,10.89,2.86,11.39,2.66,3.34,5.43,2.73,3.04
广东明珠,33.18,5.53,10.83,4.72,5.86,8.48,4.85,5.74
天龙光电,7.04,6.87,21.4,5.22,8.06,15.67,5.72,7.85
国中水务,23.01,2.8,17.88,2.25,3.23,10.18,2.47,3.03
中贝通信,1,17.7,10.15,16.79,20.58,6.68,17.02,19.45
营口港,68.49,2.6,16.3,2.08,2.89,13.35,2.11,2.76
新泉股份,93.39,24.16,29.95,17.12,31.77,22.6,18.81,29.79
华昌化工,39.21,5.25,6.82,4.85,5.56,4.29,5.02,5.47
同和药业,32.43,35.89,21.14,26.79,41.16,13.83,29.82,39.4
民丰特纸,17.49,5.5,8.87,4.79,5.72,4.67,5.12,5.62
国海证券,7.49,5.61,14.93,4.47,6.04,4.2,5.38,5.86
*ST河化,14.22,5.74,15.71,4.72,6.48,9.71,5.14,6.24
杉杉股份,8.17,12.23,18.3,9.3,13.46,8.71,10.9,12.99
梦洁股份,1.24,5.8,11.45,5.31,6.69,7.82,5.48,6.4
渝农商行,6.16,5.31,9.55,4.97,6.02,4.75,5.15,5.66
国芳集团,3.51,5.5,15.32,5.07,6.9,9.47,5.28,6.39
南国置业,27.66,2.64,18.23,2.13,3.08,9.76,2.45,2.98
广电运通,12.43,14.29,14.59,11.68,15.67,8.94,12.74,15.25
亚世光电,10.2,18.67,6.02,17.23,19.44,3.44,17.87,19.14
五矿资本,22.55,7.88,10.7,6.93,8.59,7.01,7.26,8.36
锐新科技,10.47,30.5,10.26,26.65,32.75,5.85,28.42,31.94
浦发银行,22.77,10.43,9.39,9.57,11.55,5.75,9.78,10.97
国元证券,20.39,10.54,16.75,8.06,11.3,13.29,8.49,11.09
中天精装,87.46,57.56,10.86,50.22,62.45,8.05,51.69,60.74
大连圣亚,58.91,41.28,5.68,39.36,44.11,3.2,39.89,42.53
*ST目药,56.07,9.37,31.69,6.29,12.13,25.15,6.71,11.21
东方创业,33.06,9.9,12.81,8.84,11.44,8.72,9.11,10.85
龙泉股份,25.28,4.98,12.43,4.31,5.53,5.62,4.64,5.19
众生药业,11.29,15.83,15.49,12.94,17.68,7.81,14.74,17.23
吉华集团,47.89,7.23,8.47,6.47,7.67,5.95,6.61,7.45
览海医疗,27.59,4.98,9.81,4.38,5.33,6.25,4.63,5.24
卫宁健康,14.31,21.16,18.05,17.6,25.35,11.84,18.76,23.8
国泰君安,36.97,18.73,14.04,15.74,20.89,11.32,16.18,20.32
华体科技,0.82,29.51,10.31,26.76,32.91,7.47,27.6,32.06
凯普生物,19.84,50.2,26.79,31.9,55.25,17.32,37.92,53.81
洪城水业,42.03,6.81,6.4,6.22,7.07,4.56,6.39,7
龙头股份,2.52,7.09,6.42,6.73,7.66,4.7,6.85,7.53
河钢股份,47.98,2.23,6.88,2.03,2.33,5.5,2.06,2.3
国城矿业,68.88,19.24,15.48,17.52,23.93,11.98,18.11,23.04
大湖股份,10.8,4.8,13.66,4.05,5.33,6.74,4.49,5.14
金科环境,5.62,40.18,9.05,36.83,44.16,4.51,38.74,42.41
伟星股份,97.05,5.9,10.82,5.21,6.47,6.91,5.51,6.33
垒知集团,27.1,11.26,10.27,10.08,12.39,6.29,10.58,12
大秦铁路,41.05,6.55,4.76,6.3,6.93,2.6,6.38,6.72
上港集团,42.31,4.37,9.15,3.92,4.71,6.91,4.04,4.64
美亚柏科,6.24,20.7,10.28,19.28,23.7,5.47,19.71,21.99
太原重工,69.11,2.11,8.71,1.94,2.31,4.25,2.03,2.21
浦东建设,17.49,6.68,5.84,6.21,6.98,4.39,6.31,6.89
新华锦,91.13,5.88,10.48,5.16,6.36,7.57,5.39,6.27
诚邦股份,10.33,8.98,15.3,8.29,11.28,6.05,8.5,9.6
西王食品,22.95,6.86,13.83,5.74,7.58,10.09,6.08,7.45
中新药业,29.48,17.71,18.47,13.43,19.51,9.43,15.57,18.81
紫金银行,7.64,4.45,11.13,4.09,5.12,6.48,4.26,4.85
江阴银行,20.94,4.33,9.18,3.91,4.7,6.76,4,4.58
新钢股份,28.24,4.34,8.96,3.86,4.62,6.73,3.95,4.52
罗平锌电,5.81,7.05,10.91,6.19,7.71,6.77,6.57,7.52
成都燃气,3.67,15.46,6.3,14.67,16.64,2.66,15.11,15.94
维维股份,48.27,4.14,20.44,3.12,4.73,14.05,3.47,4.6
方正证券,25.2,8.76,14.39,7.03,9.39,11.79,7.19,9.11
金一文化,14.26,4.38,9.95,3.8,4.64,5.19,4.11,4.56
*ST聚力,44.66,2.07,22.67,1.45,2.3,18.93,1.52,2.23
江河集团,34.75,6.19,5.89,5.67,6.38,4.47,5.77,6.31
昊华能源,42.86,4.11,14.71,3.39,4.55,10.21,3.6,4.41
雄韬股份,1.78,22.17,7.68,20.45,23.85,5.67,20.86,23.37
劲拓股份,11.11,17.72,8.59,15.54,18.46,5.36,16.39,18.25
新 希 望,46.62,32.38,16.95,27.8,39.14,11.72,28.78,36.42
江苏神通,84.01,10.94,24.09,7.65,12.5,11.67,9.5,12.01
驰宏锌锗,26.17,4.16,14.9,3.37,4.54,11.51,3.46,4.36
福建水泥,6.2,10.7,8.12,9.82,11.56,5.13,10.23,11.33
光华科技,50.95,13.57,11.96,11.75,14.93,8.46,12.21,14.47
宁波港,66.54,3.59,12.82,3.23,4.18,10.48,3.29,4.06
奥瑞金,94.91,5.31,19.29,3.93,5.81,16.7,4.05,5.67
南宁百货,2.89,6.92,14.17,5.98,7.96,11.02,6.18,7.71
新世界,0.44,12.09,17.38,10.33,14.67,9.74,11.36,13.81
重庆港九,30.68,3.96,12.39,3.57,4.58,6.39,3.66,4.16
浙能电力,86.34,3.54,9.6,3.2,3.88,7.37,3.27,3.79
ST摩登,50.86,1.87,10.75,1.66,2.06,7.28,1.72,1.99
亨通光电,1.61,16.68,8.23,15.91,18.76,4.88,16.27,17.94
柳    工,76.24,7.27,8.94,6.35,7.6,6.21,6.63,7.5
航天宏图,1.99,49.8,12,44.77,56.98,7.87,47.07,55.11
美好置业,66.4,3.51,17.47,2.74,3.9,15.45,2.79,3.81
ST浩源,11.66,4.07,20.99,3.52,5.39,7.41,3.68,4.27
亚盛集团,26.98,3.8,11.14,3.4,4.25,7.26,3.56,4.12
文科园林,41.28,5.4,9.5,4.81,5.82,6.99,4.92,5.66
亚太实业,12.5,6.08,20.59,4.84,7.35,12.78,5.42,7.01
新华保险,78.49,55.75,23.62,39.94,64.63,16.92,43.62,61.38
安诺其,45.87,5.48,22.65,4.36,6.91,15.35,4.77,6.5
航天电子,13.51,7.68,11.73,6.56,8.3,6.52,7.14,8.14
凯乐科技,0.86,14.03,7.51,13.21,15.35,5.01,13.39,14.8
众应互联,2.55,6.18,11.64,5.4,6.82,8.48,5.51,6.53
招商公路,54.62,7.03,8.45,6.45,7.64,5.16,6.68,7.41
康欣新材,21.07,3.58,6.85,3.33,3.82,3.34,3.47,3.71
赣粤高速,40.9,3.54,5.25,3.34,3.71,3.99,3.37,3.65
西部创业,10.5,3.7,13.74,3.45,4.55,9.65,3.53,4.28
华发股份,29.75,7.1,11.33,6.1,7.66,8.38,6.33,7.49
汉钟精机,6.94,13.85,11.75,11.81,14.96,6.21,12.98,14.7
香梨股份,9.83,11.03,7.43,10.3,11.96,5.57,10.46,11.69
西南证券,16.49,5.7,15.21,4.45,6.05,9.59,4.91,5.95
安博通,0.71,92.22,14.75,86.04,115.82,8.34,88.01,104.02
ST运盛,1.05,3.65,6.79,3.5,4.01,2.87,3.55,3.76
亚泰集团,42.92,3.46,11.28,2.91,3.65,9.39,2.99,3.61
友好集团,43.34,5.13,13.46,4.5,5.9,4.48,4.92,5.38
康隆达,91.32,20.95,20.9,15.63,23.9,12.4,18.16,23.31
浙江震元,51.94,8.38,15.8,6.97,9.59,11.69,7.43,9.4
ST中科创,11.95,5.3,5.9,4.94,5.56,3.22,5.11,5.45
中铁装配,9.89,19.64,14.72,16.05,21.59,10.06,16.97,20.77
*ST中商,43.94,1.7,27.61,1.43,2.52,17.25,1.49,2.11
卫 士 通,0.61,22.5,8.27,20.72,24.45,5.33,21.34,23.74
威华股份,15.61,14.28,19.3,11.46,16.95,9.64,13.19,16.01
*ST六化,69.98,3.16,14.72,2.55,3.43,11,2.71,3.38
*ST长城,5.01,1.71,23.67,1.62,2.63,4.08,1.66,1.8
华铁应急,15.66,6.85,9.83,5.93,7.22,4.85,6.41,7.06
广宇集团,47.47,3.26,6.75,2.97,3.4,5.16,3.03,3.36
今创集团,36.72,11.95,17.31,9.08,12.88,12.04,9.89,12.59
中科金财,7.49,15.71,10.66,14.25,17.65,5.38,15.13,16.85
洪涛股份,17.24,3.35,8.11,3.06,3.6,4.04,3.21,3.48
我乐家居,58.98,15.46,18.07,11.77,16.96,15.06,12.2,16.52
隆平高科,11.82,21.23,14.2,17.84,23.75,8.94,19.43,23.24
ST百花,7.66,5.29,13.99,4.75,6.3,7.77,4.98,5.82
东风汽车,82.95,4.53,10.59,3.97,4.91,8.56,4.06,4.82
江苏阳光,59.34,3.15,19.93,2.23,3.34,13.06,2.53,3.29
卓郎智能,4.54,5.22,7.27,4.78,5.53,4.92,4.93,5.44
ST八菱,3.9,5.24,41.79,4.78,11.64,30.26,5.01,9.35
天晟新材,82.46,10,24.54,6.81,11.24,15.37,8.13,11.08
寿仙谷,65.9,37.64,22.54,25.87,40.93,17.61,28.34,40.46
天奇股份,11.25,10.09,19.78,8.33,12.44,11,9.53,11.89
英科医疗,22.7,151.23,32.05,88.86,172.67,12.86,128.82,166.83
宁波海运,18.57,3.17,5.33,2.93,3.26,3.86,2.99,3.23
中国核电,64.94,4.44,8.82,3.98,4.75,5.78,4.16,4.67
新五丰,6.69,11.18,13.39,9.03,11.82,9.99,9.52,11.63
有方科技,2.41,45.98,19.36,40.36,59.75,10.69,41.63,51.6
道森股份,59.45,11.73,12.72,10.47,13.52,9.73,10.69,12.99
中国重工,22.21,4.91,11.95,4.09,5.2,9.3,4.24,5.11
ST威龙,35.85,6.37,14.38,5.08,6.78,11.71,5.2,6.58
粤宏远Ａ,20.6,3.13,17.47,2.58,3.67,7.12,2.89,3.33
中国国航,86.85,7.14,7.24,6.54,7.56,5.24,6.65,7.38
海辰药业,10.77,30.28,14.15,25.21,33.51,9.51,27.04,32.73
光明地产,32.75,2.97,6.82,2.8,3.21,4.52,2.85,3.12
航新科技,18.45,17.37,13.32,14.66,19.17,6.72,15.99,18.3
兴业银行,57.98,15.96,8.29,14.96,17.67,4.25,15.23,16.58
上海机场,56.05,72.48,10.33,64.1,78.88,6.61,67.22,76.75
利君股份,75.85,9.45,40.19,4.96,11.63,26.98,6.14,10.67
炼石航空,26.3,12.57,21.55,9.66,14.97,14.34,10.91,14.57
世名科技,93.6,28.31,40.57,14.91,35.27,30.21,17.95,33.49
思维列控,0.54,35.89,7.53,33.06,38.44,5.08,34,37.64
*ST东网,10.93,1.51,18.98,1.43,2.1,6.11,1.46,1.65
*ST金洲,74.81,1.29,27.05,0.89,1.55,22.63,0.94,1.49
华夏幸福,18.16,17.17,13.67,15.22,20.05,9.52,15.76,19.07
泰瑞机器,4.25,9.93,12.71,8.72,11.26,8.15,9.12,10.74
莱茵体育,29.09,3.02,11.89,2.63,3.34,8.67,2.74,3.26
中国铁建,13.1,9.1,7.71,8.33,9.72,4.89,8.65,9.54
海南矿业,42.61,5.86,21.49,4.71,7.29,16.85,4.91,6.9
航天科技,13.65,12.34,11.09,10.8,13.49,7.12,11.48,13.24
东土科技,4.35,12.58,8.8,11.41,13.61,6.21,11.8,13.36
方大特钢,48.97,5.69,9.44,5.18,6.26,5.03,5.37,5.94
航民股份,40.44,5.73,5.99,5.26,5.93,4.29,5.36,5.84
中光防雷,31.66,15.49,18.55,12.23,17.8,12.73,13.4,17.31
天原集团,9.96,6.56,14.76,5.26,7.09,8.79,5.82,6.94
珍宝岛,39.15,12.78,7.1,11.75,13.55,5.28,11.94,13.27
中国中冶,33.34,2.82,8.89,2.46,2.94,7.18,2.52,2.91
*ST夏利,69.22,3.77,19.26,3.1,4.57,13.49,3.36,4.41
国风塑业,5.84,5.97,7.4,5.53,6.42,5.2,5.68,6.3
嘉应制药,30.45,5.86,12.65,5.01,6.47,8.8,5.28,6.3
百达精工,0.89,11.76,5.44,11.16,12.45,3.29,11.36,12.13
*ST博信,77.35,6.08,33.98,3.58,7.26,25.13,4.19,7
德生科技,10.33,14.56,5.51,13.48,15.05,3.67,13.87,14.93
秦港股份,42.68,2.76,8.39,2.51,2.97,5.67,2.58,2.89
ST通葡,1.98,3.47,20.7,2.75,4.19,16.84,2.78,3.9
鞍钢股份,43.64,2.7,8.68,2.42,2.88,6.04,2.49,2.81
招商蛇口,26.05,16.97,9.04,15.6,18.7,6.85,15.81,18.13
益生股份,2.36,15.95,11.35,14.01,17.59,3.91,15.3,16.55
洛阳钼业,24.01,4.35,16.17,3.47,4.81,12.45,3.61,4.64
中航机电,55.14,10.54,19.31,7.81,11.54,15.93,8.1,11.17
湖南海利,32.24,9.67,18.69,6.97,10.17,9.92,8.22,10.02
海信视像,32.63,13.91,21.67,9.64,14.98,10.26,11.95,14.68
德新交运,19.25,19.51,10.52,17.3,21.37,7.25,18.1,20.93
世联行,96.87,4.42,30.13,2.79,5.2,23.95,3.05,4.97
东方钽业,25.84,8.24,18.25,6.27,9.06,12.68,6.88,8.88
科力尔,35.88,23.95,7.2,22.57,26.07,3.2,23.11,24.64
瑞茂通,40.77,6.69,10.53,5.75,7.1,7.86,5.97,6.98
瀚蓝环境,81.79,25,21.11,19.56,30.03,17.7,20.3,29.04
华图山鼎,67.9,45.84,32.19,27.83,54.25,12.5,40.93,52.62
安源煤业,38.88,2.67,13.06,2.23,2.9,7.4,2.44,2.83
南兴股份,43.31,19.48,15.28,15.98,21.75,11.06,17.03,21.26
上汽集团,67.21,18.55,7.26,17.07,19.75,5.43,17.41,19.41
信雅达,12.14,9.5,9.45,8.36,10.11,5.09,8.95,9.91
精研科技,1.81,82.86,18.59,69.49,101.24,10.55,76.51,94.56
*ST金钰,44.49,1.28,28.9,0.89,1.61,18.36,0.99,1.43
闽发铝业,28.65,3.88,10.88,3.36,4.18,8.06,3.48,4.09
三泰控股,61.53,5.95,20.09,4.58,6.89,14.56,4.95,6.63
氯碱化工,15.47,8.33,13.6,7.11,9.34,8.86,7.53,9
永贵电器,19.41,11.13,21.79,8.21,12.78,17.11,8.78,12.41
华西股份,1.31,10.99,19.37,9.08,13.44,14.91,9.52,12.86
凯文教育,23.2,6.85,16.43,5.58,7.78,10.84,6.05,7.52
*ST大港,39.38,6.49,18.97,4.88,7.16,13.89,5.19,6.86
光大银行,28.6,3.86,13.6,3.39,4.46,8.86,3.49,4.16
金自天正,16.58,10.52,9.95,9.39,11.47,6.44,9.76,11.1
联美控股,0.45,14.24,9.07,12.78,15.33,5.82,13.38,15.03
珠海中富,28.77,2.64,14.63,2.13,2.86,10.28,2.27,2.79
浩洋股份,2.91,67.03,4.31,63.03,68.71,2.36,65.14,68.29
山东赫达,27.32,37.83,32.58,20.97,41.24,17.48,28.17,40.1
金智科技,11.68,9.34,12.39,8.33,10.68,7.7,8.61,10.05
招商轮船,16.76,6.47,10.82,5.69,7.07,7.53,5.96,6.94
广深铁路,48.92,2.42,7.86,2.17,2.54,6.36,2.21,2.51
佳禾智能,8.15,27.37,8.55,24.61,29.21,4.87,25.93,28.59
伟隆股份,21.49,18.22,5.62,17,19.03,2.79,17.59,18.6
恒华科技,48.46,11.86,11.64,10.42,13.16,8.14,10.91,12.84
新凤鸣,51.38,10.56,8.43,10,11.85,5.97,10.15,11.44
贵航股份,13.05,18.42,19.48,14.03,20.82,10.22,16.57,20.34
浙江仙通,23.51,16.97,18.05,12.82,18.47,11.77,14.26,18.07
*ST宜生,41.62,1.18,11.32,1.05,1.31,7.28,1.09,1.26
华能国际,86.07,4.74,19.17,4.07,6,16.36,4.18,5.81
横河模具,32.41,8.71,20.2,7.12,10.73,13.9,7.59,10.04
凌钢股份,41.48,2.33,7.39,2.13,2.47,4.74,2.21,2.43
博汇股份,9.25,31.06,6.82,28.33,32.48,3.72,29.64,31.93
中油资本,7.03,7.88,10.89,6.86,8.54,8.25,7.04,8.31
太极股份,6.19,31.93,13.92,27.28,36.11,9.52,28.68,34.71
栖霞建设,9.42,3.64,9.21,3.35,4.03,5.68,3.49,3.91
文灿股份,34.87,24.34,9.91,21.05,25.68,4.32,23.14,25.23
九州通,0.05,18.2,7.37,17.17,19.9,5.33,17.57,19.55
神农科技,32.64,7.06,15.19,5.83,7.92,7.91,6.56,7.69
广汇物流,88.73,5.37,8.85,4.79,5.72,5.15,5.06,5.61
广汽集团,54.88,10.03,9.03,9.11,10.92,6.77,9.39,10.75
上海石化,0.6,3.72,9.88,3.42,4.17,7.27,3.51,4.06
茂化实华,32.64,4.52,8.18,4.04,4.76,4.27,4.26,4.64
华谊集团,44.42,5.58,7.59,5.05,5.88,5.79,5.13,5.76
美邦服饰,28.65,2.25,8.44,2.06,2.44,5.1,2.14,2.37
北大荒,26.91,19.7,17.26,15.25,21.61,11.62,16.66,21.04
杭萧钢构,27.68,4.69,15.3,3.85,5.24,11.23,4.08,5.11
智云股份,8.04,14.7,11.08,12.91,16.13,7.4,13.41,15.55
